net,length_um
net2186,318.3µm
net1397,317.96µm
net2373,317.86µm
net2388,317.86µm
net1265,317.21µm
net592,316.66µm
net570,316.505µm
net2066,316.41µm
net1623,316.37µm
net1139,316.24µm
net1389,316.08µm
net1771,315.77µm
net1697,315.725µm
net1712,315.71µm
net2399,315.46µm
_06137_,315.16µm
net1745,314.91µm
net1617,314.45µm
net2123,314.03µm
net1749,313.08µm
net1386,313.03µm
net686,312.46µm
net2025,311.52µm
net2184,311.52µm
net1349,311.36µm
net505,311.315µm
net1889,311.3µm
net506,310.66µm
net1182,310.46µm
net2331,310.45µm
net2382,310.1µm
net275,309.84µm
net2008,308.87µm
net203,308.62µm
net1610,308.6µm
net1547,308.39µm
net1633,308.385µm
net1477,308.3µm
net1726,308.16µm
net2329,308.13µm
net127,307.58µm
_04291_,306.98µm
u_core.instr\[17\],306.69µm
net1929,306.595µm
net1611,306.51µm
_04652_,306.47µm
net2044,306.17µm
net1256,306.05µm
_06697_,305.98µm
net557,305.83µm
net2084,305.63µm
net1148,305.48µm
_07399_,305.44µm
_06848_,305.08µm
net2396,305.035µm
net1687,304.76µm
net1211,304.54µm
net1780,304.05µm
net2173,304.05µm
net1565,303.94µm
net544,303.66µm
net1255,303.34µm
net1915,303.165µm
_06606_,302.77µm
net1775,302.42µm
net1656,302.1µm
net2485,301.86µm
_09087_,301.7µm
net346,301.45µm
_09193_,301.34µm
net1305,301.08µm
net2357,300.92µm
net1630,300.84µm
net2366,300.365µm
net1143,300.36µm
_03872_,300.3µm
_09089_,300.21µm
net806,300.19µm
net1347,299.9µm
_09101_,299.76µm
net1688,299.65µm
net334,299.54µm
net1642,299.34µm
net838,298.99µm
net194,298.95µm
net1266,298.78µm
_07310_,298.7µm
net1622,298.7µm
net1714,298.59µm
net1495,298.48µm
_05671_,298.41µm
net1372,298.35µm
_06550_,297.87µm
_05993_,297.78µm
_07714_,297.42µm
net2042,297.06µm
net957,297.04µm
net1677,296.81µm
net1713,296.77µm
_09187_,296.74µm
net1619,296.74µm
net2362,296.32µm
net1476,296.21µm
net1186,296.14µm
net1141,296.08µm
_06666_,295.58µm
net840,295.535µm
net2166,295.535µm
net1399,295.265µm
net1284,294.79µm
net2064,294.78µm
net1246,294.45µm
net2342,294.385µm
net1260,294.31µm
net1195,294.04µm
net2359,293.91µm
net211,293.51µm
net2152,293.37µm
net1958,293.27µm
net889,293.24µm
net880,293µm
net374,292.96µm
net2379,292.82µm
_09098_,292.7µm
net1676,292.7µm
_04512_,292.68µm
net1353,292.62µm
net2369,292.42µm
net1355,292.05µm
net1641,291.97µm
_03350_,291.94µm
net2033,291.925µm
net1363,291.91µm
net2165,291.58µm
net1997,291.515µm
net563,291.13µm
net1572,291.11µm
net1755,290.61µm
net1352,290.16µm
net1903,290.125µm
net1708,290.11µm
net1484,290.09µm
net1275,289.87µm
net822,289.79µm
net1370,289.785µm
_03227_,289.5µm
net1418,289.48µm
net2060,289.48µm
net1679,289.17µm
net2438,289.06µm
net1162,289.03µm
net1802,288.925µm
net1164,288.73µm
net1739,288.65µm
net1135,288.44µm
net2156,288.33µm
net1693,288.315µm
_09110_,287.92µm
net220,287.9µm
net1614,287.6µm
net1853,287.225µm
net1493,287.22µm
net1870,287.11µm
net1814,286.62µm
_04107_,286.61µm
net1198,286.59µm
net1313,286.59µm
net1133,286.52µm
net594,286.45µm
net1373,285.96µm
net1326,285.92µm
_09145_,285.54µm
net2261,285.15µm
net1685,285.04µm
net789,284.83µm
net1628,284.71µm
net1334,284.64µm
net1358,284.49µm
net2326,284.465µm
net1362,284.46µm
net1701,284.435µm
net1485,284.32µm
net1636,284µm
net1290,283.82µm
_04896_,283.64µm
net1216,283.34µm
net1531,283µm
net1193,282.79µm
net786,282.47µm
net1381,282.47µm
net2336,281.84µm
net1624,281.55µm
net772,281.465µm
net2398,281.32µm
net1272,281.2µm
net360,281.12µm
net636,281.1µm
net1612,281.05µm
net2162,280.9µm
net555,280.81µm
net2153,280.81µm
net1316,280.75µm
net474,280.6µm
_09093_,280.53µm
_03319_,280.5µm
_07397_,280.49µm
net640,280.2µm
net1695,280.12µm
net1960,280.01µm
net1722,279.905µm
net1209,279.78µm
net1224,279.59µm
net1295,279.51µm
_03172_,279.47µm
net1518,279.28µm
net198,278.92µm
net1670,278.915µm
_09077_,278.6µm
