net,length_um
u_core.u_regfile.regs\[12\]\[23\],25.445µm
_06208_,25.44µm
_08597_,25.44µm
u_core.u_regfile.regs\[16\]\[18\],25.44µm
net13,25.44µm
u_core.u_regfile.regs\[9\]\[17\],25.42µm
u_core.u_regfile.regs\[7\]\[19\],25.38µm
_06158_,25.36µm
u_core.u_regfile.regs\[10\]\[31\],25.335µm
u_core.u_regfile.regs\[29\]\[27\],25.33µm
_04637_,25.3µm
_07451_,25.28µm
u_core.u_regfile.regs\[10\]\[19\],25.28µm
_08152_,25.26µm
_08824_,25.26µm
u_core.u_regfile.regs\[17\]\[3\],25.26µm
_05123_,25.24µm
u_core.u_dmem.ram\[42\]\[17\],25.24µm
u_core.u_regfile.regs\[25\]\[13\],25.24µm
_05505_,25.22µm
u_core.u_regfile.regs\[19\]\[12\],25.22µm
_04901_,25.18µm
_05349_,25.18µm
net769,25.165µm
_04945_,25.14µm
_07485_,25.12µm
u_core.u_regfile.regs\[14\]\[7\],25.12µm
u_core.u_regfile.regs\[24\]\[17\],25.1µm
u_core.u_regfile.regs\[5\]\[29\],25.1µm
u_core.u_regfile.regs\[25\]\[3\],25.08µm
u_core.u_regfile.regs\[7\]\[9\],25.08µm
net494,25.04µm
_05883_,25.025µm
u_core.u_regfile.regs\[14\]\[5\],25.02µm
u_core.u_regfile.regs\[29\]\[1\],25µm
_05822_,24.98µm
u_core.u_regfile.regs\[28\]\[8\],24.98µm
net2315,24.98µm
_03232_,24.96µm
u_core.u_regfile.regs\[19\]\[3\],24.96µm
_06932_,24.94µm
u_core.u_regfile.regs\[10\]\[25\],24.94µm
u_core.u_regfile.regs\[4\]\[2\],24.94µm
u_core.u_regfile.regs\[18\]\[6\],24.925µm
_05437_,24.92µm
u_core.u_regfile.regs\[17\]\[2\],24.9µm
u_core.u_regfile.regs\[2\]\[14\],24.9µm
u_core.u_regfile.regs\[21\]\[14\],24.88µm
u_core.u_regfile.regs\[21\]\[8\],24.88µm
u_core.u_regfile.regs\[2\]\[4\],24.86µm
_08695_,24.84µm
u_core.u_regfile.regs\[1\]\[30\],24.81µm
u_core.u_regfile.regs\[16\]\[12\],24.8µm
u_core.u_regfile.regs\[1\]\[6\],24.76µm
u_core.u_regfile.regs\[29\]\[12\],24.74µm
u_core.u_regfile.regs\[25\]\[27\],24.72µm
_07568_,24.7µm
u_core.u_regfile.regs\[16\]\[14\],24.7µm
_04439_,24.68µm
u_core.u_regfile.regs\[3\]\[14\],24.68µm
u_core.u_regfile.regs\[12\]\[24\],24.67µm
_04718_,24.66µm
_04691_,24.64µm
_06176_,24.64µm
u_core.u_regfile.regs\[14\]\[31\],24.64µm
u_core.u_regfile.regs\[19\]\[23\],24.625µm
_04592_,24.6µm
_04815_,24.6µm
u_core.u_dmem.ram\[44\]\[17\],24.6µm
u_core.u_regfile.regs\[23\]\[13\],24.6µm
u_core.u_regfile.regs\[4\]\[19\],24.6µm
net2311,24.6µm
_04941_,24.56µm
u_core.u_regfile.regs\[25\]\[10\],24.56µm
net223,24.55µm
_06274_,24.54µm
_07230_,24.54µm
u_core.u_regfile.regs\[1\]\[15\],24.54µm
_05460_,24.525µm
_07797_,24.52µm
u_core.u_regfile.regs\[27\]\[4\],24.5µm
_03570_,24.48µm
_05527_,24.48µm
net1055,24.48µm
_07336_,24.46µm
u_core.u_regfile.regs\[29\]\[16\],24.46µm
net790,24.46µm
_07981_,24.42µm
u_core.u_regfile.regs\[20\]\[4\],24.38µm
u_core.u_regfile.regs\[31\]\[18\],24.38µm
_06479_,24.36µm
_06660_,24.36µm
u_core.u_regfile.regs\[11\]\[24\],24.36µm
u_core.u_regfile.regs\[26\]\[4\],24.36µm
u_core.u_regfile.regs\[7\]\[31\],24.34µm
_03751_,24.32µm
u_core.u_dmem.ram\[30\]\[9\],24.32µm
u_core.u_regfile.regs\[24\]\[22\],24.32µm
u_core.u_regfile.regs\[27\]\[6\],24.32µm
u_core.u_regfile.regs\[4\]\[4\],24.32µm
_03753_,24.3µm
_04142_,24.3µm
_08838_,24.3µm
_03424_,24.28µm
_05316_,24.265µm
_05108_,24.26µm
_06124_,24.26µm
_08355_,24.26µm
u_core.u_regfile.regs\[15\]\[11\],24.26µm
u_core.u_regfile.regs\[31\]\[31\],24.245µm
_04961_,24.22µm
_06518_,24.22µm
u_core.u_regfile.regs\[3\]\[16\],24.22µm
u_core.u_regfile.regs\[9\]\[25\],24.22µm
u_core.u_regfile.regs\[9\]\[30\],24.22µm
_05103_,24.2µm
_08587_,24.2µm
u_core.u_regfile.regs\[5\]\[26\],24.2µm
u_core.u_regfile.regs\[9\]\[23\],24.19µm
u_core.u_regfile.regs\[18\]\[12\],24.185µm
_04370_,24.18µm
u_core.u_regfile.regs\[9\]\[9\],24.18µm
u_core.u_regfile.regs\[17\]\[4\],24.17µm
_05655_,24.16µm
_05906_,24.16µm
u_core.u_regfile.regs\[25\]\[2\],24.16µm
_03754_,24.14µm
u_core.u_dmem.ram\[32\]\[14\],24.14µm
u_core.u_regfile.regs\[26\]\[14\],24.13µm
_06462_,24.12µm
_08340_,24.12µm
u_core.u_regfile.regs\[15\]\[29\],24.12µm
u_core.u_regfile.regs\[2\]\[15\],24.08µm
u_core.u_regfile.regs\[27\]\[21\],24.06µm
u_core.u_regfile.regs\[8\]\[23\],24.06µm
u_core.u_dmem.ram\[47\]\[29\],24.02µm
u_core.u_regfile.regs\[29\]\[20\],24.02µm
u_core.u_regfile.regs\[4\]\[22\],24.02µm
_05511_,24µm
_07023_,24µm
u_core.u_regfile.regs\[13\]\[6\],23.99µm
_05711_,23.98µm
_08718_,23.98µm
u_core.u_regfile.regs\[17\]\[28\],23.98µm
u_core.u_regfile.regs\[28\]\[24\],23.98µm
u_core.u_regfile.regs\[2\]\[28\],23.98µm
u_core.u_regfile.regs\[9\]\[15\],23.98µm
_08040_,23.97µm
_05858_,23.96µm
u_core.u_regfile.regs\[1\]\[12\],23.96µm
u_core.u_regfile.regs\[4\]\[11\],23.96µm
u_core.u_regfile.regs\[19\]\[27\],23.955µm
_04313_,23.94µm
u_core.u_regfile.regs\[17\]\[18\],23.94µm
u_core.u_regfile.regs\[25\]\[25\],23.92µm
u_core.u_regfile.regs\[9\]\[26\],23.92µm
_05583_,23.9µm
_08182_,23.9µm
u_core.u_regfile.regs\[10\]\[21\],23.9µm
u_core.u_regfile.regs\[24\]\[21\],23.9µm
u_core.u_dmem.ram\[46\]\[20\],23.88µm
u_core.u_regfile.regs\[25\]\[9\],23.88µm
u_core.u_regfile.regs\[27\]\[9\],23.88µm
u_core.u_regfile.regs\[2\]\[27\],23.88µm
u_core.u_regfile.regs\[2\]\[6\],23.88µm
net1314,23.88µm
u_core.u_regfile.regs\[10\]\[23\],23.86µm
u_core.u_regfile.regs\[16\]\[25\],23.86µm
u_core.u_regfile.regs\[21\]\[27\],23.84µm
u_core.u_regfile.regs\[31\]\[0\],23.84µm
u_core.u_regfile.regs\[6\]\[31\],23.82µm
u_core.u_dmem.ram\[1\]\[4\],23.8µm
u_core.u_regfile.regs\[15\]\[9\],23.8µm
u_core.u_regfile.regs\[22\]\[28\],23.8µm
u_core.u_regfile.regs\[26\]\[17\],23.8µm
_06506_,23.78µm
_07295_,23.78µm
_08215_,23.78µm
u_core.u_regfile.regs\[1\]\[7\],23.78µm
_05276_,23.76µm
u_core.u_dmem.ram\[52\]\[25\],23.76µm
u_core.u_regfile.regs\[10\]\[15\],23.76µm
_03482_,23.74µm
_05540_,23.74µm
u_core.u_regfile.regs\[11\]\[18\],23.74µm
u_core.u_regfile.regs\[10\]\[11\],23.735µm
_06864_,23.72µm
_07201_,23.69µm
_03575_,23.68µm
_05370_,23.68µm
u_core.instr\[22\],23.68µm
_06202_,23.66µm
_08128_,23.66µm
u_core.u_regfile.regs\[17\]\[24\],23.66µm
u_core.u_regfile.regs\[27\]\[14\],23.66µm
_07419_,23.64µm
u_core.u_regfile.regs\[21\]\[1\],23.64µm
u_core.u_regfile.regs\[12\]\[20\],23.625µm
_07393_,23.62µm
u_core.u_dmem.ram\[34\]\[0\],23.6µm
u_core.u_dmem.ram\[44\]\[5\],23.6µm
_06696_,23.58µm
_08642_,23.58µm
_03905_,23.56µm
_05884_,23.56µm
_03349_,23.54µm
u_core.u_regfile.regs\[8\]\[9\],23.54µm
net1062,23.54µm
_03728_,23.52µm
u_core.u_regfile.regs\[26\]\[3\],23.52µm
u_core.u_regfile.regs\[30\]\[14\],23.52µm
u_core.u_regfile.regs\[5\]\[2\],23.52µm
u_core.u_regfile.regs\[29\]\[6\],23.485µm
_04868_,23.48µm
_06419_,23.46µm
u_core.u_regfile.regs\[24\]\[6\],23.46µm
u_core.u_regfile.regs\[27\]\[31\],23.44µm
u_core.u_regfile.regs\[28\]\[22\],23.44µm
u_core.u_regfile.regs\[13\]\[19\],23.42µm
u_core.u_regfile.regs\[19\]\[0\],23.42µm
u_core.u_dmem.ram\[13\]\[19\],23.415µm
u_core.u_dmem.ram\[62\]\[5\],23.4µm
u_core.u_regfile.regs\[23\]\[23\],23.385µm
_05183_,23.38µm
u_core.u_regfile.regs\[31\]\[3\],23.38µm
u_core.u_regfile.regs\[6\]\[28\],23.38µm
_05725_,23.37µm
u_core.u_dmem.ram\[25\]\[7\],23.36µm
_04437_,23.34µm
u_core.u_dmem.ram\[28\]\[10\],23.34µm
u_core.u_regfile.regs\[19\]\[24\],23.34µm
u_core.u_regfile.regs\[6\]\[24\],23.34µm
_05284_,23.32µm
u_core.u_regfile.regs\[24\]\[19\],23.32µm
u_core.u_regfile.regs\[28\]\[5\],23.315µm
u_core.u_regfile.regs\[15\]\[16\],23.31µm
_04078_,23.3µm
_08546_,23.3µm
u_core.u_regfile.regs\[30\]\[1\],23.3µm
net3,23.3µm
u_core.u_regfile.regs\[3\]\[21\],23.28µm
u_core.u_regfile.regs\[3\]\[9\],23.28µm
_04632_,23.26µm
_08613_,23.26µm
u_core.u_regfile.regs\[2\]\[3\],23.26µm
_06708_,23.24µm
u_core.u_regfile.regs\[19\]\[10\],23.24µm
u_core.u_regfile.regs\[20\]\[21\],23.24µm
u_core.u_regfile.regs\[24\]\[3\],23.24µm
_05850_,23.22µm
_05893_,23.22µm
_04802_,23.2µm
u_core.u_regfile.regs\[20\]\[31\],23.195µm
u_core.u_regfile.regs\[30\]\[2\],23.19µm
_07373_,23.18µm
_09018_,23.18µm
u_core.u_regfile.regs\[17\]\[6\],23.18µm
u_core.u_regfile.regs\[25\]\[4\],23.18µm
_03461_,23.16µm
_08119_,23.16µm
u_core.u_dmem.ram\[21\]\[18\],23.155µm
_04049_,23.12µm
_05308_,23.12µm
_08963_,23.12µm
u_core.u_regfile.regs\[31\]\[21\],23.12µm
u_core.u_regfile.regs\[8\]\[7\],23.115µm
_05338_,23.1µm
u_core.u_regfile.regs\[5\]\[6\],23.1µm
_04911_,23.08µm
_05022_,23.08µm
net2222,23.06µm
u_core.u_regfile.regs\[13\]\[12\],23.055µm
_04819_,23.04µm
_04973_,23.04µm
u_core.u_regfile.regs\[30\]\[15\],23.04µm
u_core.u_regfile.regs\[3\]\[0\],23.02µm
net1815,23.02µm
net1993,23.02µm
_08412_,23µm
u_core.instr\[6\],23µm
_07165_,22.99µm
_03963_,22.98µm
u_core.u_regfile.regs\[25\]\[31\],22.98µm
u_core.u_regfile.regs\[26\]\[28\],22.98µm
u_core.u_dmem.ram\[15\]\[12\],22.975µm
_04397_,22.97µm
_04354_,22.96µm
_07876_,22.96µm
_08523_,22.96µm
u_core.u_regfile.regs\[15\]\[31\],22.96µm
u_core.u_regfile.regs\[2\]\[2\],22.94µm
u_core.u_regfile.regs\[4\]\[12\],22.94µm
_04765_,22.92µm
_07412_,22.92µm
_08158_,22.92µm
_08915_,22.92µm
u_core.u_regfile.regs\[12\]\[13\],22.92µm
_06150_,22.91µm
_03512_,22.88µm
u_core.u_regfile.regs\[11\]\[14\],22.88µm
u_core.u_regfile.regs\[16\]\[28\],22.88µm
u_core.u_regfile.regs\[20\]\[1\],22.88µm
u_core.u_regfile.regs\[9\]\[1\],22.88µm
_05964_,22.86µm
u_core.u_regfile.regs\[6\]\[11\],22.86µm
u_core.u_regfile.regs\[18\]\[26\],22.845µm
_03561_,22.84µm
_03881_,22.84µm
u_core.u_regfile.regs\[20\]\[11\],22.84µm
u_core.u_regfile.regs\[24\]\[0\],22.84µm
u_core.u_regfile.regs\[3\]\[28\],22.84µm
u_core.u_dmem.ram\[54\]\[16\],22.82µm
u_core.u_regfile.regs\[14\]\[24\],22.82µm
_06312_,22.8µm
_07665_,22.8µm
_08976_,22.8µm
u_core.u_regfile.regs\[9\]\[29\],22.8µm
_04916_,22.79µm
u_core.u_regfile.regs\[4\]\[6\],22.79µm
u_core.u_regfile.regs\[6\]\[26\],22.79µm
u_core.u_regfile.regs\[22\]\[5\],22.76µm
_03674_,22.74µm
u_core.u_regfile.regs\[12\]\[0\],22.74µm
u_core.u_regfile.regs\[10\]\[8\],22.725µm
_06340_,22.72µm
u_core.u_regfile.regs\[14\]\[30\],22.72µm
u_core.u_regfile.regs\[20\]\[19\],22.715µm
_03507_,22.7µm
u_core.u_regfile.regs\[31\]\[9\],22.7µm
net1616,22.7µm
_07509_,22.66µm
u_core.u_regfile.regs\[27\]\[0\],22.66µm
_04894_,22.6µm
u_core.u_regfile.regs\[14\]\[19\],22.58µm
net2126,22.58µm
u_core.u_dmem.ram\[41\]\[27\],22.56µm
_03376_,22.54µm
_06945_,22.54µm
u_core.u_regfile.regs\[8\]\[16\],22.54µm
u_core.u_regfile.regs\[9\]\[18\],22.54µm
u_core.u_dmem.ram\[30\]\[27\],22.52µm
u_core.u_regfile.regs\[23\]\[27\],22.52µm
u_core.u_regfile.regs\[28\]\[10\],22.515µm
u_core.u_regfile.regs\[3\]\[8\],22.51µm
_04460_,22.5µm
_05635_,22.5µm
u_core.u_dmem.ram\[47\]\[28\],22.48µm
u_core.u_regfile.regs\[14\]\[10\],22.48µm
u_core.u_regfile.regs\[2\]\[17\],22.48µm
u_core.u_regfile.regs\[28\]\[31\],22.47µm
_03423_,22.46µm
_03693_,22.46µm
u_core.u_dmem.ram\[14\]\[14\],22.46µm
u_core.u_dmem.ram\[16\]\[6\],22.46µm
u_core.u_dmem.ram\[44\]\[2\],22.46µm
u_core.u_regfile.regs\[15\]\[8\],22.46µm
u_core.u_regfile.regs\[5\]\[1\],22.46µm
u_core.u_regfile.regs\[6\]\[29\],22.46µm
net4230,22.46µm
u_core.u_regfile.regs\[18\]\[21\],22.445µm
u_core.u_dmem.ram\[36\]\[31\],22.44µm
u_core.u_regfile.regs\[14\]\[17\],22.44µm
net969,22.44µm
u_core.u_regfile.regs\[19\]\[30\],22.43µm
u_core.u_regfile.regs\[25\]\[18\],22.42µm
_03897_,22.4µm
u_core.u_regfile.regs\[18\]\[19\],22.4µm
u_core.u_regfile.regs\[21\]\[12\],22.4µm
u_core.u_regfile.regs\[27\]\[28\],22.4µm
u_core.u_regfile.regs\[4\]\[24\],22.4µm
u_core.u_regfile.regs\[14\]\[25\],22.39µm
_08100_,22.385µm
u_core.u_regfile.regs\[26\]\[24\],22.385µm
_03502_,22.38µm
_07294_,22.38µm
u_core.u_dmem.ram\[32\]\[23\],22.38µm
_05021_,22.36µm
_08540_,22.36µm
u_core.u_regfile.regs\[4\]\[17\],22.34µm
u_core.u_regfile.regs\[29\]\[24\],22.325µm
_09114_,22.32µm
_05812_,22.3µm
_08005_,22.3µm
u_core.u_regfile.regs\[29\]\[5\],22.285µm
_06605_,22.28µm
_09012_,22.28µm
u_core.u_regfile.regs\[21\]\[4\],22.28µm
net2072,22.28µm
net1301,22.26µm
_08383_,22.24µm
u_core.u_regfile.regs\[25\]\[15\],22.24µm
u_core.u_regfile.regs\[2\]\[31\],22.24µm
_09067_,22.22µm
u_core.u_regfile.regs\[11\]\[23\],22.22µm
u_core.u_regfile.regs\[4\]\[7\],22.22µm
u_core.u_regfile.regs\[22\]\[24\],22.2µm
u_core.u_regfile.regs\[24\]\[23\],22.2µm
net2124,22.2µm
_05596_,22.18µm
_06499_,22.18µm
u_core.u_regfile.regs\[30\]\[20\],22.18µm
_06593_,22.16µm
u_core.u_regfile.regs\[25\]\[21\],22.16µm
net963,22.16µm
u_core.u_regfile.regs\[23\]\[14\],22.155µm
_05573_,22.12µm
_08122_,22.12µm
u_core.u_regfile.regs\[22\]\[8\],22.12µm
u_core.u_regfile.regs\[18\]\[15\],22.1µm
_04395_,22.08µm
_06626_,22.06µm
u_core.u_regfile.regs\[17\]\[19\],22.06µm
u_core.u_regfile.regs\[4\]\[10\],22.06µm
u_core.u_regfile.regs\[5\]\[31\],22.06µm
u_core.u_regfile.regs\[9\]\[31\],22.06µm
u_core.u_regfile.regs\[15\]\[6\],22.04µm
net1440,22.04µm
_08583_,22.02µm
u_core.u_regfile.regs\[6\]\[15\],22.02µm
u_core.u_regfile.regs\[26\]\[26\],22.015µm
_05072_,22µm
u_core.u_dmem.ram\[55\]\[16\],22µm
u_core.u_regfile.regs\[2\]\[1\],22µm
u_core.u_regfile.regs\[5\]\[24\],22µm
_07558_,21.98µm
_08026_,21.96µm
_08581_,21.96µm
u_core.u_dmem.ram\[35\]\[3\],21.96µm
u_core.u_dmem.ram\[56\]\[18\],21.96µm
u_core.u_regfile.regs\[21\]\[26\],21.96µm
u_core.u_regfile.regs\[26\]\[10\],21.96µm
_04301_,21.94µm
_07153_,21.94µm
net994,21.94µm
u_core.u_regfile.regs\[6\]\[5\],21.92µm
u_core.u_regfile.regs\[6\]\[30\],21.9µm
u_core.u_regfile.regs\[26\]\[6\],21.89µm
_06590_,21.885µm
_08578_,21.88µm
u_core.u_dmem.ram\[50\]\[15\],21.88µm
_08285_,21.86µm
u_core.u_regfile.regs\[5\]\[11\],21.86µm
_05010_,21.84µm
_08580_,21.84µm
u_core.u_regfile.regs\[11\]\[3\],21.84µm
u_core.u_regfile.regs\[20\]\[16\],21.825µm
u_core.u_regfile.regs\[22\]\[1\],21.82µm
u_core.u_dmem.ram\[62\]\[29\],21.81µm
_03864_,21.8µm
u_core.u_dmem.ram\[28\]\[25\],21.8µm
u_core.u_regfile.regs\[31\]\[27\],21.77µm
_03576_,21.76µm
_07637_,21.76µm
u_core.u_dmem.ram\[53\]\[9\],21.76µm
u_core.u_regfile.regs\[3\]\[1\],21.76µm
u_core.u_dmem.ram\[53\]\[16\],21.75µm
u_core.u_regfile.regs\[1\]\[25\],21.75µm
_08684_,21.74µm
_09150_,21.74µm
u_core.u_regfile.regs\[3\]\[6\],21.74µm
_05651_,21.73µm
_06081_,21.72µm
_07975_,21.7µm
u_core.u_regfile.regs\[1\]\[21\],21.7µm
u_core.u_regfile.regs\[7\]\[30\],21.7µm
u_core.u_regfile.regs\[3\]\[2\],21.675µm
_05521_,21.66µm
_06671_,21.66µm
_08975_,21.66µm
u_core.u_dmem.ram\[1\]\[8\],21.66µm
u_core.u_regfile.regs\[15\]\[28\],21.66µm
_04198_,21.64µm
u_core.u_regfile.regs\[10\]\[14\],21.635µm
net1926,21.605µm
_07521_,21.6µm
_08983_,21.6µm
u_core.u_dmem.ram\[41\]\[31\],21.6µm
_04288_,21.58µm
_06410_,21.58µm
u_core.u_regfile.regs\[27\]\[15\],21.58µm
u_core.u_regfile.regs\[12\]\[26\],21.56µm
u_core.u_regfile.regs\[1\]\[31\],21.56µm
_08181_,21.55µm
_05800_,21.54µm
_08161_,21.54µm
_08650_,21.54µm
u_core.u_dmem.ram\[32\]\[15\],21.54µm
u_core.u_regfile.regs\[16\]\[11\],21.54µm
u_core.u_regfile.regs\[7\]\[4\],21.54µm
_04571_,21.52µm
u_core.u_regfile.regs\[12\]\[11\],21.52µm
u_core.u_regfile.regs\[22\]\[15\],21.52µm
u_core.u_regfile.regs\[22\]\[23\],21.52µm
_04311_,21.5µm
_04415_,21.5µm
_06385_,21.5µm
_07111_,21.5µm
u_core.u_dmem.ram\[33\]\[0\],21.5µm
u_core.u_dmem.ram\[46\]\[13\],21.5µm
u_core.u_dmem.ram\[53\]\[4\],21.5µm
u_core.u_regfile.regs\[10\]\[18\],21.5µm
u_core.u_regfile.regs\[19\]\[5\],21.5µm
u_core.u_regfile.regs\[6\]\[8\],21.5µm
net1875,21.5µm
u_core.u_dmem.ram\[20\]\[5\],21.46µm
u_core.u_dmem.ram\[33\]\[14\],21.46µm
u_core.u_regfile.regs\[22\]\[11\],21.46µm
u_core.u_regfile.regs\[24\]\[15\],21.46µm
u_core.u_regfile.regs\[29\]\[22\],21.46µm
u_core.u_regfile.regs\[5\]\[20\],21.46µm
u_core.u_regfile.regs\[8\]\[22\],21.46µm
_06187_,21.44µm
u_core.u_regfile.regs\[16\]\[26\],21.44µm
_07863_,21.42µm
u_core.u_dmem.ram\[2\]\[19\],21.42µm
u_core.u_dmem.ram\[48\]\[3\],21.42µm
u_core.u_regfile.regs\[18\]\[11\],21.42µm
u_core.u_regfile.regs\[27\]\[26\],21.42µm
u_core.u_regfile.regs\[29\]\[11\],21.42µm
u_core.u_regfile.regs\[30\]\[22\],21.4µm
_04495_,21.38µm
_05158_,21.38µm
_05161_,21.38µm
u_core.u_dmem.ram\[35\]\[13\],21.38µm
u_core.u_regfile.regs\[19\]\[14\],21.38µm
u_core.u_regfile.regs\[22\]\[0\],21.38µm
u_core.u_regfile.regs\[22\]\[27\],21.36µm
u_core.u_dmem.ram\[18\]\[25\],21.34µm
u_core.u_dmem.ram\[56\]\[10\],21.34µm
u_core.u_regfile.regs\[4\]\[13\],21.34µm
u_core.u_dmem.ram\[47\]\[19\],21.33µm
u_core.u_regfile.regs\[3\]\[10\],21.33µm
_03968_,21.32µm
u_core.u_dmem.ram\[7\]\[26\],21.32µm
u_core.u_regfile.regs\[15\]\[23\],21.32µm
u_core.u_regfile.regs\[22\]\[7\],21.32µm
u_core.u_regfile.regs\[23\]\[2\],21.32µm
_07401_,21.28µm
_09026_,21.28µm
u_core.u_regfile.regs\[23\]\[21\],21.26µm
u_core.u_dmem.ram\[57\]\[18\],21.245µm
_06154_,21.24µm
u_core.u_dmem.ram\[35\]\[19\],21.24µm
u_core.u_dmem.ram\[8\]\[24\],21.24µm
u_core.u_regfile.regs\[13\]\[15\],21.24µm
u_core.u_regfile.regs\[22\]\[12\],21.24µm
u_core.u_regfile.regs\[28\]\[3\],21.24µm
_05089_,21.22µm
_05180_,21.22µm
_05754_,21.22µm
_07199_,21.22µm
u_core.u_regfile.regs\[10\]\[3\],21.22µm
u_core.u_regfile.regs\[31\]\[22\],21.22µm
_05155_,21.21µm
_04590_,21.2µm
_08711_,21.2µm
u_core.u_regfile.regs\[21\]\[24\],21.2µm
u_core.u_dmem.ram\[49\]\[28\],21.195µm
_06088_,21.18µm
u_core.u_regfile.regs\[2\]\[22\],21.18µm
net1832,21.18µm
u_core.u_dmem.ram\[31\]\[14\],21.16µm
u_core.u_regfile.regs\[24\]\[2\],21.16µm
u_core.u_regfile.regs\[6\]\[23\],21.16µm
u_core.u_regfile.regs\[12\]\[22\],21.145µm
u_core.u_dmem.ram\[61\]\[14\],21.14µm
u_core.u_regfile.regs\[13\]\[21\],21.14µm
net2237,21.14µm
_04272_,21.12µm
_05274_,21.12µm
_05366_,21.12µm
_06094_,21.12µm
u_core.u_regfile.regs\[18\]\[4\],21.12µm
u_core.u_dmem.ram\[6\]\[22\],21.115µm
_06944_,21.1µm
net1204,21.1µm
_08224_,21.095µm
_03756_,21.08µm
_06925_,21.08µm
u_core.u_regfile.regs\[12\]\[14\],21.06µm
u_core.u_regfile.regs\[13\]\[20\],21.06µm
_04042_,21.04µm
_08585_,21.04µm
u_core.u_regfile.regs\[19\]\[6\],21.04µm
u_core.u_regfile.regs\[5\]\[8\],21.04µm
net2473,21.04µm
u_core.u_dmem.ram\[10\]\[25\],21.035µm
_09005_,21.02µm
u_core.u_dmem.ram\[34\]\[28\],21.005µm
_04041_,21µm
_04597_,21µm
_08053_,21µm
u_core.u_dmem.ram\[11\]\[5\],21µm
u_core.u_regfile.regs\[15\]\[4\],21µm
u_core.u_regfile.regs\[22\]\[21\],21µm
u_core.u_regfile.regs\[23\]\[28\],21µm
u_core.u_regfile.regs\[6\]\[25\],21µm
net495,21µm
_05553_,20.98µm
u_core.u_regfile.regs\[12\]\[30\],20.98µm
u_core.u_regfile.regs\[20\]\[3\],20.98µm
u_core.u_regfile.regs\[3\]\[19\],20.98µm
_05128_,20.975µm
u_core.u_regfile.regs\[2\]\[8\],20.97µm
_07597_,20.96µm
_07993_,20.96µm
u_core.u_dmem.ram\[57\]\[26\],20.96µm
u_core.u_regfile.regs\[14\]\[21\],20.96µm
u_core.u_regfile.regs\[22\]\[30\],20.96µm
u_core.u_regfile.regs\[5\]\[10\],20.96µm
_08996_,20.955µm
_04485_,20.92µm
_06728_,20.92µm
u_core.u_dmem.ram\[10\]\[12\],20.92µm
u_core.u_regfile.regs\[7\]\[3\],20.92µm
u_core.u_dmem.ram\[23\]\[11\],20.91µm
_04708_,20.9µm
_08013_,20.9µm
_08275_,20.9µm
_05860_,20.89µm
u_core.u_regfile.regs\[7\]\[20\],20.88µm
_05041_,20.86µm
u_core.u_regfile.regs\[12\]\[29\],20.86µm
_05741_,20.84µm
_04435_,20.82µm
u_core.u_regfile.regs\[5\]\[12\],20.8µm
_04732_,20.78µm
_07865_,20.78µm
u_core.u_dmem.ram\[45\]\[1\],20.78µm
u_core.u_regfile.regs\[17\]\[26\],20.78µm
u_core.u_regfile.regs\[20\]\[27\],20.78µm
u_core.u_regfile.regs\[20\]\[23\],20.775µm
u_core.u_dmem.ram\[25\]\[8\],20.76µm
u_core.u_regfile.regs\[3\]\[5\],20.76µm
_07159_,20.755µm
_06379_,20.74µm
u_core.u_dmem.ram\[22\]\[16\],20.74µm
u_core.u_regfile.regs\[27\]\[8\],20.74µm
u_core.u_dmem.ram\[36\]\[8\],20.72µm
u_core.u_regfile.regs\[7\]\[8\],20.72µm
_08741_,20.7µm
u_core.u_regfile.regs\[13\]\[1\],20.7µm
u_core.u_regfile.regs\[29\]\[30\],20.7µm
u_core.u_regfile.regs\[5\]\[16\],20.7µm
_09161_,20.68µm
u_core.u_dmem.ram\[54\]\[23\],20.68µm
u_core.u_regfile.regs\[27\]\[19\],20.68µm
_04034_,20.66µm
u_core.u_regfile.regs\[2\]\[25\],20.66µm
_07940_,20.65µm
u_core.u_regfile.regs\[15\]\[15\],20.64µm
_07422_,20.635µm
_07146_,20.62µm
u_core.u_dmem.ram\[17\]\[10\],20.62µm
u_core.u_dmem.ram\[40\]\[1\],20.62µm
net1023,20.62µm
_04531_,20.6µm
_05862_,20.6µm
_06853_,20.6µm
_04884_,20.59µm
_03499_,20.58µm
_04138_,20.58µm
u_core.u_dmem.ram\[28\]\[13\],20.58µm
u_core.u_dmem.ram\[59\]\[2\],20.58µm
_05917_,20.54µm
_06762_,20.54µm
_08940_,20.54µm
u_core.u_dmem.ram\[62\]\[17\],20.54µm
u_core.u_regfile.regs\[13\]\[22\],20.54µm
u_core.u_regfile.regs\[4\]\[14\],20.54µm
u_core.u_regfile.regs\[1\]\[14\],20.52µm
u_core.pc\[10\],20.5µm
u_core.u_dmem.ram\[21\]\[23\],20.5µm
u_core.u_dmem.ram\[35\]\[21\],20.5µm
_08440_,20.48µm
u_core.u_regfile.regs\[12\]\[21\],20.475µm
u_core.u_dmem.ram\[41\]\[4\],20.46µm
u_core.u_dmem.ram\[7\]\[27\],20.46µm
u_core.u_regfile.regs\[14\]\[2\],20.46µm
u_core.u_regfile.regs\[2\]\[0\],20.46µm
u_core.u_dmem.ram\[48\]\[12\],20.44µm
_08528_,20.42µm
_07840_,20.4µm
u_core.u_regfile.regs\[23\]\[16\],20.4µm
